,Bgd_Si 350 MeV/n_4,FociPerGy_Si 350 MeV/n_4,Bgd_Si 350 MeV/n_8,FociPerGy_Si 350 MeV/n_8,Bgd_Si 350 MeV/n_24,FociPerGy_Si 350 MeV/n_24,Bgd_Si 350 MeV/n_48,FociPerGy_Si 350 MeV/n_48,Bgd_Ar 350 MeV/n_4,FociPerGy_Ar 350 MeV/n_4,Bgd_Ar 350 MeV/n_8,FociPerGy_Ar 350 MeV/n_8,Bgd_Ar 350 MeV/n_24,FociPerGy_Ar 350 MeV/n_24,Bgd_Ar 350 MeV/n_48,FociPerGy_Ar 350 MeV/n_48,Bgd_Fe 600 MeV/n_4,FociPerGy_Fe 600 MeV/n_4,Bgd_Fe 600 MeV/n_8,FociPerGy_Fe 600 MeV/n_8,Bgd_Fe 600 MeV/n_24,FociPerGy_Fe 600 MeV/n_24,Bgd_Fe 600 MeV/n_48,FociPerGy_Fe 600 MeV/n_48,Bgd_X-ray_4,FociPerGy_X-ray_4,Bgd_X-ray_24,FociPerGy_X-ray_24,Bgd_X-ray_48,FociPerGy_X-ray_48,Bgd_Si 350 MeV/n_4.1,FociPerGy_Si 350 MeV/n_4.1,Bgd_Si 350 MeV/n_8.1,FociPerGy_Si 350 MeV/n_8.1,Bgd_Si 350 MeV/n_24.1,FociPerGy_Si 350 MeV/n_24.1,Bgd_Si 350 MeV/n_48.1,FociPerGy_Si 350 MeV/n_48.1,Bgd_Ar 350 MeV/n_4.1,FociPerGy_Ar 350 MeV/n_4.1,Bgd_Ar 350 MeV/n_8.1,FociPerGy_Ar 350 MeV/n_8.1,Bgd_Ar 350 MeV/n_24.1,FociPerGy_Ar 350 MeV/n_24.1,Bgd_Ar 350 MeV/n_48.1,FociPerGy_Ar 350 MeV/n_48.1,Bgd_Fe 600 MeV/n_4.1,FociPerGy_Fe 600 MeV/n_4.1,Bgd_Fe 600 MeV/n_8.1,FociPerGy_Fe 600 MeV/n_8.1,Bgd_Fe 600 MeV/n_24.1,FociPerGy_Fe 600 MeV/n_24.1,Bgd_Fe 600 MeV/n_48.1,FociPerGy_Fe 600 MeV/n_48.1,Bgd_X-ray_4.1,FociPerGy_X-ray_4.1,Bgd_X-ray_24.1,FociPerGy_X-ray_24.1,Bgd_X-ray_48.1,FociPerGy_X-ray_48.1
min,1.01e-05,0.000360785,9.21e-06,0.0005336,1.61e-05,0.000771531,1.19e-05,8.27e-05,1.07e-06,2.07e-09,1.21e-06,4.04e-06,4.3e-06,0.000345583,3.32e-09,1.97e-05,1.46e-05,1.57e-09,0.000180685,8.12e-10,1.24e-05,6.45e-08,1.87e-06,8.61e-08,4.34e-07,2.35e-07,9.31e-07,5.93e-06,2.11e-06,3.74e-05,1.01e-05,0.000360785,9.21e-06,0.0005336,1.61e-05,0.000771531,1.19e-05,8.27e-05,1.07e-06,2.07e-09,1.21e-06,4.04e-06,4.3e-06,0.000345583,3.32e-09,1.97e-05,1.46e-05,1.57e-09,0.000180685,8.12e-10,1.24e-05,6.45e-08,1.87e-06,8.61e-08,4.34e-07,2.35e-07,9.31e-07,5.93e-06,2.11e-06,3.74e-05
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,0.34313669039450284,0.4404399524107126,0.3206004806898849,0.40147179735202826,0.3568427528527298,0.47772342758915215,0.4058235539363851,0.41242770391645744,0.33700931520680133,0.33594446502430286,0.35606410319515347,0.35390804120724584,0.36945111152835375,0.462276803118402,0.2995266535304629,0.373664082799066,0.41452963172374346,0.3024477892446968,0.4322375567929004,0.23987823379737638,0.40463643452638653,0.28724698974823076,0.33344177576825673,0.30177944879786384,0.3305233729596533,0.2857143654096284,0.31015893112625825,0.3205764760976379,0.38377870701921285,0.3303114268832832,0.34313669039450284,0.4404399524107126,0.3206004806898849,0.40147179735202826,0.3568427528527298,0.47772342758915215,0.4058235539363851,0.41242770391645744,0.33700931520680133,0.33594446502430286,0.35606410319515347,0.35390804120724584,0.36945111152835375,0.462276803118402,0.2995266535304629,0.373664082799066,0.41452963172374346,0.3024477892446968,0.4322375567929004,0.23987823379737638,0.40463643452638653,0.28724698974823076,0.33344177576825673,0.30177944879786384,0.3305233729596533,0.2857143654096284,0.31015893112625825,0.3205764760976379,0.38377870701921285,0.3303114268832832
mode,0.608935296,0.030156061,1.0,1.0,0.252221781,1.0,0.733009442,1.0,0.632332975,1.0,0.706549901,1.0,0.649159684,1.0,0.637822903,1.0,0.993132942,0.248969705,0.66889274,0.505016732,0.783011465,1.0,0.771657245,0.535546328,0.199288448,0.950275387,0.466672161,1.0,1.0,1.0,0.608935296,0.030156061,1.0,1.0,0.252221781,1.0,0.733009442,1.0,0.632332975,1.0,0.706549901,1.0,0.649159684,1.0,0.637822903,1.0,0.993132942,0.248969705,0.66889274,0.505016732,0.783011465,1.0,0.771657245,0.535546328,0.199288448,0.950275387,0.466672161,1.0,1.0,1.0
std_dev,0.3080585095214418,0.28856516055228726,0.30350781720121167,0.2969764801103867,0.3025094115404829,0.2894535897137991,0.30861195652528134,0.30729363831252143,0.3056619606755678,0.3164661882093677,0.3062318747094548,0.3072161104870623,0.3064378518350322,0.2986942567540034,0.3056437154288963,0.30871044025950894,0.3042938257394092,0.30569079288407597,0.3062834169138266,0.2932547387447373,0.3044944768766783,0.30224688861458876,0.30477366478195156,0.3051443910898621,0.30460095132092024,0.30609682706534846,0.2983527485497765,0.31063214223379804,0.31523536049574674,0.308801291399748,0.3080585095214418,0.28856516055228726,0.30350781720121167,0.2969764801103867,0.3025094115404829,0.2894535897137991,0.30861195652528134,0.30729363831252143,0.3056619606755678,0.3164661882093677,0.3062318747094548,0.3072161104870623,0.3064378518350322,0.2986942567540034,0.3056437154288963,0.30871044025950894,0.3042938257394092,0.30569079288407597,0.3062834169138266,0.2932547387447373,0.3044944768766783,0.30224688861458876,0.30477366478195156,0.3051443910898621,0.30460095132092024,0.30609682706534846,0.2983527485497765,0.31063214223379804,0.31523536049574674,0.308801291399748
